month	top20_asns_by_degree
2010-10	174,3356,7018,701,3549,209,4323,1239,12389,6939,2828,3257,6461,2914,1299,6453,8220,29208,3320,702
2010-11	3356,174,7018,701,3549,209,4323,1239,6939,2828,3257,6461,12389,1299,2914,6453,8220,29208,3320,702
2010-12	174,3356,7018,701,3549,209,4323,1239,6939,2828,3257,6461,12389,1299,2914,6453,8220,29208,3320,702
2011-01	174,3356,7018,701,3549,209,4323,1239,6939,2828,3257,6461,12389,1299,2914,6453,29208,8220,3320,702
2011-02	174,3356,7018,701,3549,4323,209,6939,1239,2828,3257,6461,1299,2914,12389,6453,8220,29208,3320,702
2011-03	174,3356,7018,701,3549,6939,4323,209,1239,2828,13030,3257,6461,12389,2914,1299,6453,8220,29208,3320
2011-04	174,3356,7018,701,6939,3549,209,4323,1239,2828,13030,3257,12389,6461,2914,1299,3303,6453,29208,8220
2011-05	174,3356,7018,701,6939,3549,4323,209,1239,2828,13030,3257,12389,6461,2914,1299,6453,29208,3303,8220
2011-06	174,3356,7018,701,6939,3549,209,4323,1239,13030,2828,3257,6461,1299,2914,12389,3303,6453,29208,8220
2011-07	174,3356,7018,701,6939,3549,209,4323,1239,2828,3257,6461,2914,12389,1299,29208,6453,8220,3303,6830
2011-08	174,3356,7018,701,6939,3549,4323,209,1239,2828,3257,6461,2914,12389,1299,29208,13030,6453,3303,8220
2011-09	174,3356,7018,701,6939,3549,4323,209,12389,1239,2828,3257,13030,6461,2914,20485,1299,29208,6453,8220
2011-10	174,3356,7018,701,6939,3549,4323,209,12389,1239,2828,3257,13030,6461,2914,20485,1299,29208,6453,8220
2011-11	174,3356,7018,701,6939,3549,4323,209,12389,1239,2828,3257,13030,6461,2914,20485,29208,1299,6453,3491
2011-12	174,3356,7018,6939,701,3549,4323,209,1239,12389,2828,3257,13030,6461,2914,20485,1299,29208,6453,8220
2012-01	174,3356,7018,6939,701,3549,4323,209,1239,2828,3257,13030,6461,2914,20485,1299,29208,5580,6453,8220
2012-02	174,3356,7018,6939,701,3549,4323,209,1239,2828,3257,13030,6461,2914,20485,1299,12389,29208,5580,8220
2012-03	174,3356,7018,6939,701,3549,4323,209,1239,3257,2828,13030,6461,2914,20485,1299,12389,5580,29208,6830
2012-04	174,3356,7018,6939,701,3549,4323,209,3257,2828,1239,13030,6461,2914,20485,1299,5580,12389,29208,8220
2012-05	174,3356,7018,6939,701,3549,4323,209,3257,1239,2828,6461,13030,2914,20485,1299,5580,29208,12389,8220
2012-06	174,3356,7018,6939,701,3549,4323,209,3257,2828,1239,6461,13030,2914,1299,5580,42708,29208,12389,20485
2012-07	174,3356,7018,6939,701,4323,3549,209,3257,2828,1239,6461,13030,2914,20485,42708,1299,5580,12389,29208
2012-08	174,3356,7018,6939,701,4323,3549,209,3257,2828,6461,1239,2914,13030,20485,5580,42708,1299,12389,8220
2012-09	174,3356,7018,6939,701,4323,3549,209,3257,42708,2828,6461,13030,1239,2914,20485,1299,12389,29208,5580
2012-10	174,3356,6939,7018,701,4323,3549,209,3257,42708,6461,2828,13030,1239,2914,20485,5580,1299,12389,29208
2012-11	174,3356,6939,7018,4323,701,3549,209,3257,42708,2828,6461,13030,2914,1239,20485,5580,1299,12389,29208
2012-12	174,3356,6939,7018,4323,701,3549,209,3257,42708,6461,13030,2828,2914,1239,20485,1299,5580,12389,29208
2013-01	174,3356,6939,7018,4323,701,3549,209,3257,5580,6461,42708,2828,13030,2914,20485,1239,1299,12389,29208
2013-02	174,3356,6939,7018,4323,701,3549,209,5580,3257,42708,6461,2828,2914,13030,20485,1239,1299,12389,50300
2013-03	174,3356,6939,7018,4323,701,3549,209,5580,3257,42708,6461,2914,2828,20485,1239,1299,12389,29208,50300
2013-04	174,3356,6939,7018,4323,701,3549,209,5580,3257,42708,6461,2828,2914,1299,1239,12389,13030,50300,29208
2013-05	174,3356,6939,7018,4323,701,209,3549,42708,5580,3257,6461,2828,2914,1299,1239,12389,29208,6830,13030
2013-06	174,3356,6939,7018,4323,701,209,3549,42708,6461,3257,2914,2828,1299,1239,12389,13030,50300,29208,6830
2013-07	174,3356,6939,7018,4323,701,209,3549,42708,6461,3257,2914,2828,1299,1239,12389,13030,50300,29208,20485
2013-08	174,3356,6939,7018,4323,701,209,3549,42708,6461,3257,2914,2828,1299,1239,12389,50300,29208,13030,20485
2013-09	174,3356,6939,7018,4323,701,209,3549,6461,42708,2914,3257,2828,1299,1239,12389,50300,20485,29208,13030
2013-10	174,3356,6939,7018,4323,701,209,3549,42708,6461,2828,2914,3257,1299,12389,9304,1239,50300,13030,29208
2013-11	174,3356,6939,7018,4323,701,209,3549,42708,6461,2828,2914,3257,1299,9304,12389,50300,13030,1239,29208
2013-12	174,3356,6939,7018,4323,209,701,3549,42708,6461,2828,2914,3257,20485,1299,9304,50300,12389,29208,13030
2014-01	174,3356,6939,7018,4323,701,209,3549,42708,6461,2914,2828,3257,20485,1299,12389,50300,29208,1239,29049
2014-02	174,3356,6939,7018,4323,701,209,3549,42708,6461,2914,2828,3257,20485,1299,50300,29208,13030,29049,12389
2014-03	174,3356,6939,7018,4323,209,701,3549,20485,42708,6461,2914,2828,3257,1299,9304,50300,12389,29208,29049
2014-04	174,3356,6939,7018,4323,209,701,3549,42708,6461,2914,2828,3257,1299,50300,29208,1239,6453,6830,8220
2014-05	174,3356,6939,7018,4323,209,701,3549,42708,6461,2914,2828,3257,1299,50300,29208,13030,1239,6453,6830
2014-06	174,3356,6939,7018,4323,209,701,42708,3549,6461,2914,3257,2828,1299,50300,29208,1239,6453,13030,6830
2014-07	174,3356,6939,7018,4323,209,701,6461,3549,2914,42708,3257,2828,1299,50300,29208,1239,6830,6453,5580
2014-08	174,3356,6939,7018,4323,209,701,6461,3549,2914,3257,42708,2828,1299,9304,50300,29208,1239,6830,6453
2014-09	174,3356,6939,7018,4323,209,701,6461,3549,2914,42708,3257,2828,1299,9304,50300,29208,1239,6830,6453
2014-10	174,3356,6939,7018,4323,209,701,6461,3549,2914,2828,3257,1299,42708,9304,50300,29208,10026,1239,6830
2014-11	174,3356,6939,7018,4323,209,701,6461,2914,3549,42708,3257,2828,1299,9304,50300,29208,1239,6453,6830
2014-12	174,3356,6939,7018,4323,209,701,6461,2914,3549,3257,2828,1299,42708,9304,50300,29208,5580,8220,6453
2015-01	174,3356,6939,7018,4323,209,701,6461,2914,42708,3549,3257,2828,1299,9304,50300,29208,5580,6453,6830
2015-02	174,3356,6939,7018,4323,209,701,6461,2914,3257,3549,2828,1299,9304,50300,42708,29208,5580,6453,6830
2015-03	174,3356,6939,7018,4323,209,701,6461,2914,3257,3549,2828,42708,1299,9304,50300,29208,5580,6830,6453
2015-04	174,3356,6939,7018,4323,209,701,6461,2914,3257,3549,2828,43531,1299,42708,9304,50300,29208,6830,6453
2015-05	174,3356,6939,7018,4323,209,701,6461,3257,2914,42708,3549,2828,1299,9304,50300,29208,8220,6830,6453
2015-06	174,3356,6939,7018,4323,8220,209,701,6461,3257,2914,3549,2828,1299,9304,42708,50300,5580,29208,13030
2015-07	174,3356,6939,7018,4323,8220,209,6461,701,3257,2914,42708,2828,3549,1299,9304,50300,5580,29208,13030
2015-08	174,3356,6939,7018,4323,8220,209,3257,6461,701,2914,42708,2828,1299,3549,9304,50300,29208,5580,13030
2015-09	174,3356,6939,7018,4323,8220,209,3257,6461,701,2914,42708,2828,1299,3549,50300,29208,5580,50304,8218
2015-10	174,3356,6939,7018,4323,8220,209,3257,6461,701,2914,42708,1299,2828,3549,50300,5580,50304,13030,6453
2015-11	174,3356,6939,7018,8220,4323,209,3257,6461,2914,701,1299,2828,42708,3549,50300,5580,50304,13030,12389
2015-12	174,3356,6939,7018,4323,8220,209,3257,6461,2914,701,1299,3549,2828,42708,50300,50304,5580,13030,12389
2016-01	174,3356,6939,7018,8220,4323,209,3257,6461,701,2914,1299,42708,3549,2828,50300,5580,50304,4637,13030
2016-02	174,3356,6939,7018,8220,4323,209,3257,6461,2914,701,1299,42708,3549,2828,50300,5580,50304,13030,6453
2016-03	174,3356,6939,7018,8220,4323,209,3257,6461,2914,701,42708,1299,3549,2828,50300,50304,5580,13030,6453
2016-04	174,3356,6939,7018,8220,4323,209,3257,6461,2914,701,42708,1299,2828,3549,50300,50304,5580,6453,13030
2016-05	174,3356,6939,7018,8220,4323,209,3257,6461,2914,701,42708,1299,3549,2828,50300,50304,5580,6453,12389
2016-06	174,3356,6939,7018,8220,209,4323,6461,3257,2914,701,1299,42708,3549,2828,5580,50304,6453,13030,12389
2016-07	174,3356,6939,7018,8220,209,6461,3257,3549,4323,2914,701,1299,42708,2828,5580,50300,50304,13030,6453
2016-08	174,3356,6939,7018,3549,8220,209,6461,3257,2914,701,1299,42708,2828,50300,5580,50304,4323,6453,12389
2016-09	174,3356,6939,3549,7018,8220,209,6461,3257,2914,701,42708,1299,2828,50300,5580,50304,12389,13030,6453
2016-10	174,3356,6939,3549,7018,8220,209,6461,3257,2914,1299,701,42708,2828,50300,5580,50304,12389,6453,13030
2016-11	174,3356,6939,3549,7018,8220,209,6461,3257,2914,1299,701,42708,2828,5580,50300,50304,12389,6453,13030
2016-12	174,3356,6939,3549,7018,8220,209,6461,2914,3257,1299,701,42708,2828,50300,5580,50304,12389,6453,9498
2017-01	174,3356,6939,3549,7018,8220,209,6461,2914,3257,1299,701,42708,2828,50300,5580,50304,12389,9498,6453
2017-02	174,3356,6939,3549,7018,8220,209,6461,2914,3257,1299,701,42708,2828,50300,5580,50304,12389,9498,6453
2017-03	174,3356,6939,3549,7018,8220,209,6461,3257,2914,1299,701,42708,2828,50300,1103,50304,12389,9498,6453
2017-04	174,6939,3356,3549,7018,8220,209,6461,2914,3257,1299,701,42708,2828,50300,1103,50304,12389,9498,6453
2017-05	174,6939,3356,3549,7018,8220,209,6461,2914,3257,1299,701,50304,42708,2828,50300,1103,12389,9498,6453
2017-06	174,6939,3356,3549,7018,8220,209,3257,2914,6461,1299,701,42708,50304,2828,50300,1103,12389,9498,6453
2017-07	174,6939,3356,3549,7018,8220,209,3257,2914,6461,1299,701,50304,42708,2828,50300,1103,12389,9498,6453
2017-08	174,6939,3356,3549,7018,8220,209,2914,3257,6461,1299,42708,701,50304,2828,50300,1103,12389,9498,6453
2017-09	174,6939,3356,3549,7018,8220,209,1299,3257,6461,2914,701,42708,50304,50300,2828,1103,12389,9498,9002
2017-10	174,6939,3356,3549,7018,8220,209,1299,3257,2914,6461,42708,701,50304,50300,2828,1103,12389,9498,9002
