node_from,node_to,weight
315,668,22
371,675,30
370,696,25
341,755,18
55,783,23
32,803,24
46,809,22
361,837,19
97,838,23
72,850,21
56,852,25
299,869,27
856,870,25
86,876,25
714,950,32
746,950,29
759,953,29
549,959,23
218,979,25
32,979,28
296,1022,22
421,1025,20
899,1044,23
423,1058,15
338,1065,14
634,1108,21
188,1136,31
33,1139,19
135,1167,25
667,1175,31
584,1241,27
393,1253,29
74,1259,30
217,1269,24
665,1276,34
466,1288,23
332,1297,33
89,1388,23
328,1401,21
7,1402,25
497,1413,31
923,1418,16
937,1434,25
1214,1438,21
787,1480,26
461,1482,27
0,10,25
6,23,27
2,30,27
27,80,27
55,85,28
32,130,26
54,139,28
102,152,25
7,173,23
19,183,24
161,232,18
22,244,19
111,250,23
0,272,14
35,274,27
11,307,24
72,313,27
69,320,32
146,342,22
24,356,19
13,366,29
66,379,23
274,379,21
72,382,17
43,390,25
61,410,26
27,421,19
307,446,26
284,482,25
452,509,18
94,542,19
138,553,25
34,561,28
268,562,30
72,564,32
521,641,21
144,670,30
393,674,24
278,691,17
173,723,27
670,756,25
0,777,26
56,802,27
12,806,21
478,812,25
130,832,21
2,905,24
33,916,21
776,930,23
16,941,27
90,969,31
558,975,24
446,1018,24
10,1031,34
694,1066,19
58,1088,25
22,1103,17
314,1146,26
172,1158,22
457,1181,30
300,1183,24
85,1190,25
223,1222,21
375,1232,30
940,1261,21
570,1274,31
497,1311,35
347,1323,27
634,1358,31
555,1378,22
13,1440,27
2,1476,22
802,1494,28
327,1496,23
5,11,23
0,31,25
12,87,16
90,138,18
46,141,25
132,146,26
46,214,32
124,234,22
127,234,24
126,239,28
192,269,18
31,287,19
77,294,33
93,343,25
0,348,30
8,449,27
346,589,23
427,634,22
138,686,21
496,709,26
64,721,21
487,737,29
61,744,23
511,787,13
102,829,31
446,836,22
237,854,24
803,880,22
754,891,26
1,932,27
328,935,36
213,947,26
304,964,21
5,976,23
203,984,22
29,1014,30
43,1037,32
793,1039,40
698,1049,26
238,1074,35
769,1079,28
120,1109,32
636,1137,30
2,1168,22
115,1182,28
9,1199,27
114,1206,23
1059,1252,20
19,1270,25
32,1287,32
72,1287,32
18,1295,34
752,1300,27
62,1313,24
1088,1371,25
241,1469,20
544,1493,19
4,21,24
29,40,25
49,62,28
65,83,22
88,120,23
81,145,19
41,149,13
2,175,25
27,187,26
86,242,30
18,265,27
34,319,30
50,357,27
299,368,26
367,369,27
6,412,17
169,424,22
87,425,18
343,435,29
78,454,29
124,490,24
160,498,28
343,509,24
19,513,27
490,546,24
42,591,19
277,616,29
130,636,25
85,652,27
29,654,17
131,660,22
450,666,24
160,682,27
29,689,20
168,701,20
413,783,21
431,804,28
696,837,22
577,854,20
580,867,28
5,878,27
808,896,27
95,917,27
280,952,15
177,955,25
192,962,23
122,1016,27
90,1016,23
399,1019,24
143,1023,27
628,1041,22
277,1056,17
196,1108,25
648,1123,28
766,1125,32
227,1143,23
442,1159,19
503,1255,21
587,1310,14
218,1314,19
251,1359,31
402,1368,24
386,1405,23
698,1414,25
1248,1432,15
446,1435,27
94,1447,23
1133,1451,19
0,3,27
1,5,24
2,15,22
0,38,29
0,42,26
16,97,17
119,140,23
2,186,21
77,211,25
9,225,31
77,364,24
112,397,22
120,400,18
272,406,27
335,411,27
410,467,17
362,527,24
54,527,27
175,538,29
114,550,27
0,567,30
300,586,28
441,607,20
398,624,25
427,633,30
387,702,23
75,717,19
0,730,25
230,747,27
290,765,27
55,849,16
468,897,27
238,936,24
533,971,25
1064,1067,26
979,1071,28
69,1096,27
385,1099,27
